#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN,1PP_MV,VOTOS,PCN,DIF_2DO,PCN,2PP_MV,VOTOS,PCN,DIF_3RO,PCN,3PP_MV,VOTOS,PCN,PAN,PCN,PRI,PCN,PRD,PCN,MC,PCN,PVEM,PCN,MORENA,PCN,PT,PCN,QI,PCN,PES,PCN,RSP,PCN,FM,PCN,EAMA,PCN,ASE,PCN,PAN_QI,PCN,PRI_PVEM,PCN,PVEM-PT,PCN,CNR,PCN,NULOS,PCN,TOT_VOTOS,VALIDACION
38,22,QUERETARO,2,ARROYO SECO,1,15,37,281,183,0.65,0.35,MORENA,77,0.42,28,0.15,PAN,49,0.27,6,0.03,PRI,43,0.23,MORENA,77,0.42,28,0.15,PAN,49,0.27,6,0.03,PRI,43,0.09,49,0.27,43,0.23,0,0.00,3,0.02,1,0.01,77,0.42,0,0.00,1,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.01,0,0.00,0,0.00,8,0.04,183,100.00%
39,22,QUERETARO,2,ARROYO SECO,1,15,38,195,134,0.69,0.31,PAN,57,0.43,21,0.16,PRI,36,0.27,13,0.10,MORENA,23,0.17,PAN,57,0.43,21,0.16,PRI,36,0.27,13,0.10,MORENA,23,0.13,57,0.43,36,0.27,1,0.01,1,0.01,1,0.01,23,0.17,0,0.00,1,0.01,0,0.00,1,0.01,1,0.01,0,0.00,0,0.00,1,0.01,3,0.02,0,0.00,0,0.00,8,0.06,134,100.00%
40,22,QUERETARO,2,ARROYO SECO,1,15,39,"2,204","1,375",0.62,0.38,PAN,470,0.34,48,0.03,MORENA,422,0.31,141,0.10,PRI,281,0.20,PAN,470,0.34,48,0.03,MORENA,422,0.31,141,0.10,PRI,281,2.10,470,0.34,281,0.20,11,0.01,38,0.03,24,0.02,422,0.31,8,0.01,12,0.01,7,0.01,14,0.01,11,0.01,0,0.00,0,0.00,4,0.00,16,0.01,0,0.00,1,0.00,56,0.04,"1,375",100.00%
41,22,QUERETARO,2,ARROYO SECO,1,15,40,261,191,0.73,0.27,PAN,64,0.34,13,0.07,PRI,51,0.27,1,0.01,MORENA,50,0.26,PAN,64,0.34,13,0.07,PRI,51,0.27,1,0.01,MORENA,50,0.04,64,0.34,51,0.27,5,0.03,1,0.01,2,0.01,50,0.26,7,0.04,1,0.01,2,0.01,0,0.00,2,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,0.03,191,100.00%
42,22,QUERETARO,2,ARROYO SECO,1,15,41,997,639,0.64,0.36,PAN,236,0.37,54,0.08,MORENA,182,0.28,17,0.03,PRI,165,0.26,PAN,236,0.37,54,0.08,MORENA,182,0.28,17,0.03,PRI,165,0.86,236,0.37,165,0.26,10,0.02,3,0.00,3,0.00,182,0.28,1,0.00,2,0.00,7,0.01,5,0.01,6,0.01,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,18,0.03,639,100.00%
43,22,QUERETARO,2,ARROYO SECO,1,15,42,"1,012",643,0.64,0.36,MORENA,219,0.34,46,0.07,PAN,173,0.27,38,0.06,PRI,135,0.21,MORENA,219,0.34,46,0.07,PAN,173,0.27,38,0.06,PRI,135,0.21,173,0.27,135,0.21,3,0.00,53,0.08,6,0.01,219,0.34,2,0.00,3,0.00,1,0.00,3,0.00,7,0.01,0,0.00,0,0.00,3,0.00,13,0.02,0,0.00,0,0.00,22,0.03,643,100.00%
44,22,QUERETARO,2,ARROYO SECO,1,15,43,941,603,0.64,0.36,PAN,303,0.50,164,0.27,PRI,139,0.23,27,0.04,MORENA,112,0.19,PAN,303,0.50,164,0.27,PRI,139,0.23,27,0.04,MORENA,112,0.17,303,0.50,139,0.23,2,0.00,3,0.00,5,0.01,112,0.19,2,0.00,2,0.00,1,0.00,6,0.01,4,0.01,0,0.00,0,0.00,5,0.01,13,0.02,0,0.00,0,0.00,6,0.01,603,100.00%
45,22,QUERETARO,2,ARROYO SECO,1,15,44,354,273,0.77,0.23,PAN,127,0.47,37,0.14,PRI,90,0.33,47,0.17,MORENA,43,0.16,PAN,127,0.47,37,0.14,PRI,90,0.33,47,0.17,MORENA,43,0.07,127,0.47,90,0.33,0,0.00,1,0.00,0,0.00,43,0.16,0,0.00,0,0.00,2,0.01,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,4,0.01,0,0.00,0,0.00,5,0.02,273,100.00%
46,22,QUERETARO,2,ARROYO SECO,1,15,45,"2,605","1,728",0.66,0.34,PAN,648,0.38,8,0.00,MORENA,640,0.37,337,0.20,PRI,303,0.18,PAN,648,0.38,8,0.00,MORENA,640,0.37,337,0.20,PRI,303,1.11,648,0.38,303,0.18,6,0.00,14,0.01,18,0.01,640,0.37,9,0.01,6,0.00,4,0.00,5,0.00,4,0.00,0,0.00,0,0.00,3,0.00,9,0.01,0,0.00,0,0.00,59,0.03,"1,728",100.00%
47,22,QUERETARO,3,CADEREYTA DE MONTES,1,14,46,"3,277","1,782",0.54,0.46,PAN,519,0.29,59,0.03,MORENA,460,0.26,57,0.03,PRI,403,0.23,PAN,519,0.29,59,0.03,MORENA,460,0.26,57,0.03,PRI,403,0.23,519,0.29,403,0.23,8,0.00,20,0.01,171,0.10,460,0.26,0,0.00,14,0.01,0,0.00,27,0.02,102,0.06,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.00,56,0.03,"1,782",100.00%
48,22,QUERETARO,3,CADEREYTA DE MONTES,1,14,47,"2,234","1,251",0.56,0.44,PAN,389,0.31,60,0.05,MORENA,329,0.26,62,0.05,PRI,267,0.21,PAN,389,0.31,60,0.05,MORENA,329,0.26,62,0.05,PRI,267,0.15,389,0.31,267,0.21,12,0.01,14,0.01,86,0.07,329,0.26,0,0.00,8,0.01,0,0.00,17,0.01,92,0.07,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,37,0.03,"1,251",100.00%
